reviewed_category	operational_coupling	migration_relevant	pattern	path	line	column	raw_classification	excerpt	reviewed_decision
provenance_comment	False	False	academic_pipeline_rc10	software/academic_pipeline_mppg/academic_pipeline/command_dispatch.py	274	43	produtiva interna	# Origem: app_bundle/scripts/pipeline/academic_pipeline_rc10.py:1084-1091	Preservar como proveniência; não representa import ou dispatch legado.
provenance_comment	False	False	academic_pipeline_rc10	software/academic_pipeline_mppg/academic_pipeline/command_dispatch.py	290	43	produtiva interna	# Origem: app_bundle/scripts/pipeline/academic_pipeline_rc10.py:1093-1094	Preservar como proveniência; não representa import ou dispatch legado.
provenance_comment	False	False	academic_pipeline_rc10	software/academic_pipeline_mppg/academic_pipeline/command_dispatch.py	300	43	produtiva interna	# Origem: app_bundle/scripts/pipeline/academic_pipeline_rc10.py:1099-1139	Preservar como proveniência; não representa import ou dispatch legado.
active_compatibility_bridge	True	True	academic_pipeline_rc10	software/academic_pipeline_mppg/academic_pipeline/legacy.py	20	23	compatibilidade ativa	"LEGACY_MODULE_NAME = ""academic_pipeline_rc10"""	Preservar como fallback enumerado até equivalência dos fluxos migrados.
active_compatibility_bridge	True	True	dynamic_import	software/academic_pipeline_mppg/academic_pipeline/legacy.py	74	14	compatibilidade ativa	module = importlib.import_module(LEGACY_MODULE_NAME)	Preservar como fallback enumerado até equivalência dos fluxos migrados.
active_compatibility_bridge	True	True	run_legacy	software/academic_pipeline_mppg/academic_pipeline/legacy.py	97	5	compatibilidade ativa	def run_legacy(	Preservar como fallback enumerado até equivalência dos fluxos migrados.
documentation_provenance	False	False	sys.argv	software/academic_pipeline_mppg/academic_pipeline/legacy.py	102	62	compatibilidade ativa	"""""""Executa o ``main`` legado preservando e restaurando ``sys.argv``."	Docstring da ponte; não é uma operação runtime autônoma.
active_compatibility_bridge	True	True	sys.argv	software/academic_pipeline_mppg/academic_pipeline/legacy.py	108	21	compatibilidade ativa	original_argv = sys.argv[:]	Preservar como fallback enumerado até equivalência dos fluxos migrados.
active_compatibility_bridge	True	True	sys.argv	software/academic_pipeline_mppg/academic_pipeline/legacy.py	112	5	compatibilidade ativa	sys.argv = [program_name, *forwarded]	Preservar como fallback enumerado até equivalência dos fluxos migrados.
active_compatibility_bridge	True	True	module.main	software/academic_pipeline_mppg/academic_pipeline/legacy.py	115	18	compatibilidade ativa	result = module.main()	Preservar como fallback enumerado até equivalência dos fluxos migrados.
active_compatibility_bridge	True	True	sys.argv	software/academic_pipeline_mppg/academic_pipeline/legacy.py	117	9	compatibilidade ativa	sys.argv = original_argv	Preservar como fallback enumerado até equivalência dos fluxos migrados.
internal_sys_argv_reentry	True	True	sys.argv	software/academic_pipeline_mppg/academic_pipeline/prisma_generic_orchestration.py	760	26	produtiva interna	original_argv = list(sys.argv[1:])	Substituir reentrada por argv explícito na onda PRISMA.
internal_sys_argv_reentry	True	True	sys.argv	software/academic_pipeline_mppg/academic_pipeline/prisma_generic_orchestration.py	772	20	produtiva interna	old_argv = sys.argv[:]	Substituir reentrada por argv explícito na onda PRISMA.
internal_sys_argv_reentry	True	True	sys.argv	software/academic_pipeline_mppg/academic_pipeline/prisma_generic_orchestration.py	773	9	produtiva interna	sys.argv = [sys.argv[0]] + _prisma_artigo_generico_strip(original_argv)	Substituir reentrada por argv explícito na onda PRISMA.
internal_sys_argv_reentry	True	True	sys.argv	software/academic_pipeline_mppg/academic_pipeline/prisma_generic_orchestration.py	777	13	produtiva interna	sys.argv = old_argv	Substituir reentrada por argv explícito na onda PRISMA.
documentation_provenance	False	False	academic_pipeline_rc10	software/academic_pipeline_mppg/app_bundle/scripts/pipeline/academic_pipeline_gui.py	6	3	produtiva interna	``academic_pipeline_rc10.py --gui``. A interface é uma GUI nativa em Tkinter:	Atualizar documentação somente quando o shell histórico deixar de ser suportado.
generated_legacy_usage	False	True	academic_pipeline_rc10	software/academic_pipeline_mppg/app_bundle/scripts/pipeline/academic_pipeline_toml_generator_interativo.py	3671	31	produtiva interna	"lines.append(f""# Uso: academic_pipeline_rc10.py --config {data['config_path']} --somente-renderizar --document-json {data.get('document_json', '')}"")"	Atualizar instrução gerada após definição do entrypoint nativo.
generated_legacy_command	True	True	academic_pipeline_rc10	software/academic_pipeline_mppg/app_bundle/scripts/pipeline/academic_pipeline_toml_generator_interativo.py	4220	78	produtiva interna	"command_lines.append(f""pipenv run python app_bundle/scripts/pipeline/academic_pipeline_rc10.py --config {config_for_cli} --somente-renderizar --document-json {doc_json}"")"	Migrar comando gerado para academic-pipeline ou python -m academic_pipeline.
generated_legacy_command	True	True	academic_pipeline_rc10	software/academic_pipeline_mppg/app_bundle/scripts/pipeline/academic_pipeline_toml_generator_interativo.py	4222	78	produtiva interna	"command_lines.append(f""pipenv run python app_bundle/scripts/pipeline/academic_pipeline_rc10.py --config {config_for_cli}"")"	Migrar comando gerado para academic-pipeline ou python -m academic_pipeline.
documentation_provenance	False	False	academic_pipeline_rc10	software/academic_pipeline_mppg/app_bundle/scripts/pipeline/academic_pipeline_toml_generator_interativo.py	4775	7	produtiva interna	``academic_pipeline_rc10.py --init-toml`` importa e chama	Comentário ou docstring; sem acoplamento operacional direto.
documentation_provenance	False	False	sys.argv	software/academic_pipeline_mppg/app_bundle/scripts/pipeline/academic_pipeline_toml_generator_interativo.py	4785	26	produtiva interna	# necessariamente em sys.argv do módulo do wizard.	Comentário ou docstring; sem acoplamento operacional direto.
documentation_provenance	False	False	academic_pipeline_rc10	software/academic_pipeline_mppg/app_bundle/scripts/pipeline/academic_pipeline_toml_generator_interativo.py	4844	19	produtiva interna	# Importação pelo academic_pipeline_rc10.py passa a receber esta função.	Comentário ou docstring; sem acoplamento operacional direto.
unrelated_dependency_probe	False	False	dynamic_import	software/academic_pipeline_mppg/app_bundle/scripts/pipeline/diagnostics.py	158	13	produtiva interna	"__import__(""dotenv"" if mod == ""dotenv"" else mod)"	Import dinâmico deliberado para diagnóstico de dependências; fora do débito legado.
internal_dynamic_reentry	True	True	sys.argv	software/academic_pipeline_mppg/app_bundle/scripts/pipeline/gerar_artigo_final_unificado.py	61	16	produtiva interna	old_argv = sys.argv[:]	Migrar adaptador auxiliar para chamada nativa com argv explícito.
internal_dynamic_reentry	True	True	sys.argv	software/academic_pipeline_mppg/app_bundle/scripts/pipeline/gerar_artigo_final_unificado.py	64	9	produtiva interna	"sys.argv = [module_name.rsplit(""."", 1)[-1] + "".py""] + argv"	Migrar adaptador auxiliar para chamada nativa com argv explícito.
internal_dynamic_reentry	True	True	dynamic_import	software/academic_pipeline_mppg/app_bundle/scripts/pipeline/gerar_artigo_final_unificado.py	68	19	produtiva interna	mod = importlib.import_module(module_name)	Migrar adaptador auxiliar para chamada nativa com argv explícito.
internal_dynamic_reentry	True	True	sys.argv	software/academic_pipeline_mppg/app_bundle/scripts/pipeline/gerar_artigo_final_unificado.py	81	9	produtiva interna	sys.argv = old_argv	Migrar adaptador auxiliar para chamada nativa com argv explícito.
provenance_comment	False	False	academic_pipeline_rc10	software/academic_pipeline_mppg/app_bundle/scripts/pipeline/pipeline_orchestrator.py	2	31	produtiva interna	# Alias canônico AP-004B para academic_pipeline_rc10.py.	Comentário de proveniência do alias.
legacy_alias_consumer	True	True	academic_pipeline_rc10	software/academic_pipeline_mppg/app_bundle/scripts/pipeline/pipeline_orchestrator.py	10	6	produtiva interna	'academic_pipeline_rc10.py'	Inverter o alias para o runtime nativo ou remover após migração dos consumidores.
